11        0.363491    0.457066    0.837222  0.800409      00:18     
12        0.349388    0.460248    0.840278  0.803150      00:18     
13        0.334885    0.457867    0.842500  0.804415      00:18     
14        0.333325    0.466796    0.839444  0.804993      00:18     
15        0.334447    0.468608    0.845556  0.807078      00:18     
16        0.323364    0.478880    0.846667  0.805085      00:19     
17        0.312592    0.483431    0.842500  0.801122      00:19     
18        0.332697    0.478991    0.848333  0.803314      00:19     
19        0.341155    0.468698    0.841667  0.804124      00:18     
0         0.544725    0.456673    0.819444  0.770156      00:18     
1         0.522296    0.446042    0.837500  0.797086      00:19     
2         0.492807    0.443639    0.835833  0.798362      00:19     
3         0.526979    0.434855    0.847222  0.799709      00:18     
4         0.495983    0.448657    0.830556  0.799474      00:18     
5         0.480388    0.445505    0.836667  0.803344      00:18     
6         0.423535    0.438235    0.847500  0.810624      00:19     
7         0.422691    0.431564    0.846944  0.800000      00:18     
8         0.421741    0.465420    0.841389  0.802627      00:18     
9         0.394691    0.459161    0.846111  0.807505      00:19     
10        0.407180    0.471277    0.842222  0.803732      00:18     
11        0.364113    0.449760    0.841389  0.795560      00:18     
12        0.350220    0.471721    0.836944  0.798628      00:19     
13        0.339883    0.466407    0.846667  0.808200      00:19     
14        0.330341    0.469647    0.845833  0.808818      00:18     
15        0.337203    0.470930    0.841389  0.801805      00:18     
16        0.325355    0.476143    0.842222  0.796998      00:19     
17        0.317139    0.491006    0.844167  0.800569      00:19     
18        0.329477    0.472707    0.847222  0.798535      00:20     
19        0.341014    0.467362    0.843056  0.805105      00:18     
0         0.548411    0.457089    0.824722  0.774723      00:18     
1         0.518724    0.458000    0.825833  0.787817      00:19     
2         0.496405    0.443497    0.840278  0.799861      00:19     
3         0.527398    0.439137    0.844722  0.795013      00:18     
4         0.496358    0.458469    0.825000  0.796380      00:18     
5         0.472603    0.445575    0.831944  0.801052      00:18     
6         0.424203    0.458784    0.828889  0.800130      00:20     
7         0.423795    0.429381    0.848611  0.804309      00:18     
8         0.418908    0.455814    0.849444  0.808751      00:18     
9         0.396186    0.470108    0.836667  0.804781      00:19     
10        0.417468    0.459148    0.841111  0.804911      00:18     
11        0.363317    0.467190    0.832222  0.795393      00:18     
12        0.350042    0.470527    0.844722  0.807838      00:19     
13        0.342605    0.466249    0.851111  0.810734      00:19     
14        0.338116    0.459087    0.851111  0.810601      00:19     
15        0.339254    0.464343    0.847778  0.807042      00:18     
16        0.329918    0.469485    0.851111  0.805938      00:19     
17        0.316836    0.486220    0.849722  0.806855      00:19     
18        0.330819    0.477446    0.853611  0.804887      00:20     
19        0.342550    0.470502    0.840556  0.803828      00:18     
0         0.541703    0.463646    0.808333  0.761080      00:18     
1         0.515502    0.466207    0.811389  0.781461      00:19     
2         0.493993    0.430378    0.846389  0.795564      00:19     
3         0.528335    0.441696    0.848611  0.800877      00:18     
4         0.495214    0.438412    0.835556  0.799458      00:18     
5         0.474474    0.445487    0.835556  0.802929      00:18     
6         0.417355    0.451659    0.833889  0.805592      00:20     
7         0.417657    0.444315    0.845833  0.805604      00:18     
8         0.418550    0.454556    0.848611  0.807760      00:18     
